OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
12620,1,Herschel St app Nth Quay (r) (Stop 1),Herschel Street,North Street,501885,6961746,-27.467834,153.019079,Brisbane City,4 - Regular,N,Hard,Easy,Easy,,"{""coordinates"": [153.01908503474468, -27.467821443901208], ""type"": ""Point""}","-27.467821443901208, 153.01908503474468"
12621,2,Herschel St app Nth Quay (Stop 2),North Quay,North Street,501851.9,6961717.1,-27.468095,153.018744,Brisbane City,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [153.01875003477497, -27.468082443464084], ""type"": ""Point""}","-27.468082443464084, 153.01875003477497"
12622,3,Turbot St F/S Albert St (Stop 3),Turbot Street,Albert Street,502311.3,6961837.3,-27.467009,153.023393,Brisbane City,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.0233990345635, -27.466996444119367], ""type"": ""Point""}","-27.466996444119367, 153.0233990345635"
12623,4,Turbot St F/S Wharf St (Stop 4),Turbot Street,Wharf Street,502805.7,6962247.3,-27.463306,153.028396,Spring Hill,2 - Intermediate,Y,Easy,Easy,Medium,2018-02-06T11:00:00+10:00,"{""coordinates"": [153.02840203424464, -27.463293444141957], ""type"": ""Point""}","-27.463293444141957, 153.02840203424464"
12624,5,Ann Street F/S Orient Hotel (Stop 5),Ann Street,Queen Street,503022.1,6962290.4,-27.462917,153.030586,Brisbane City,3 - Regular with seat,Y,Medium,Medium,Hard,,"{""coordinates"": [153.03059203468956, -27.46290444451384], ""type"": ""Point""}","-27.46290444451384, 153.03059203468956"
12625,6,Ann St app Wharf St (Stop 6),Ann Street,Creek Street,502873,6962160.4,-27.464091,153.029078,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0290840340617, -27.464078444917913], ""type"": ""Point""}","-27.464078444917913, 153.0290840340617"
12626,7,Ann St at Anzac Square,Ann Street,Creek Street,502618.4,6961939.2,-27.466088,153.026501,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02650703493572, -27.46607544403324], ""type"": ""Point""}","-27.46607544403324, 153.02650703493572"
12627,8,Central Ann Street Stop 8,Ann Street,Edward Street,502569.1,6961895,-27.466487,153.026002,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2018-03-14T11:00:00+10:00,"{""coordinates"": [153.0260080347869, -27.466474444461085], ""type"": ""Point""}","-27.466474444461085, 153.0260080347869"
12628,9,Ann St aT KGS,Ann Street,Edward Street,502466.1,6961808,-27.467273,153.02496,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0249660349732, -27.4672604441594], ""type"": ""Point""}","-27.4672604441594, 153.0249660349732"
12629,12,Central Ann Street Stop 6a,Creek Street,Creek Street,502701.6,6962010.6,-27.465444,153.027343,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02734903471293, -27.4654314445142], ""type"": ""Point""}","-27.4654314445142, 153.02734903471293"
12630,14,Ann St @ City Hall Stop 12,Adelaide Street,Roma Street,502262.7,6961634,-27.468844,153.022902,Brisbane City,2 - Intermediate,Y,Easy,Medium,Medium,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0229080341987, -27.46883144423914], ""type"": ""Point""}","-27.46883144423914, 153.0229080341987"
12631,17,Adelaide St f/s George St (Stop 17),George Street,Pedestrian Street,502271.7,6961511.4,-27.469951,153.022993,Brisbane City,2 - Intermediate,Y,Hard,Easy,Easy,,"{""coordinates"": [153.02299903465973, -27.469938444075243], ""type"": ""Point""}","-27.469938444075243, 153.02299903465973"
12632,18,Adelaide St at City Hall (Stop 18),Adelaide Street,George Street,502293.9,6961530.7,-27.469777,153.023218,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0232240349207, -27.469764443732394], ""type"": ""Point""}","-27.469764443732394, 153.0232240349207"
12633,19,Adelaide St at City Hall,Adelaide Street,Albert Street,502346,6961572,-27.469404,153.023745,Brisbane City,1 - Premium,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02375103411526, -27.469391443881964], ""type"": ""Point""}","-27.469391443881964, 153.02375103411526"
12634,20,Adelaide St at City Hall,Adelaide Street,Albert Street,502393,6961615,-27.469016,153.024221,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02422703471493, -27.469003443664985], ""type"": ""Point""}","-27.469003443664985, 153.02422703471493"
12635,21,Adelaide St @ Res Bank (Stop 21),Adelaide Street,Albert Street,502452.9,6961669,-27.468528,153.024827,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02483303407485, -27.46851544453369], ""type"": ""Point""}","-27.46851544453369, 153.02483303407485"
12636,22,Adelaide St f/s Res Bank (Stop 22),Adelaide Street,Albert Street,502469.6,6961683.5,-27.468397,153.024996,Brisbane City,2 - Intermediate,Y,Easy,Hard,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02500203470217, -27.46838444435099], ""type"": ""Point""}","-27.46838444435099, 153.02500203470217"
12637,23,Adelaide St opp DJ's (Stop 23),Adelaide Street,Edward Street,502521.6,6961728.9,-27.467987,153.025522,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02552803409512, -27.46797444388623], ""type"": ""Point""}","-27.46797444388623, 153.02552803409512"
12638,24,Adelaide St app Edward St,Adelaide Street,Edward Street,502538.1,6961743.4,-27.467856,153.025689,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0256950341143, -27.467843444122416], ""type"": ""Point""}","-27.467843444122416, 153.0256950341143"
12639,25,Adelaide St F/S Edward St (Stop 25),Adelaide Street,Edward Street,502609.5,6961807.2,-27.46728,153.026411,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.02641703408943, -27.467267444219647], ""type"": ""Point""}","-27.467267444219647, 153.02641703408943"
12640,26,Adelaide Street @ Broadway,Adelaide Street,Edward Street,502620.8,6961817,-27.467191,153.026526,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0265320339526, -27.467178444285754], ""type"": ""Point""}","-27.467178444285754, 153.0265320339526"
12641,27,Adelaide St F/S Creek St,Adelaide Street,Creek Street,502785.3,6961960.1,-27.465899,153.02819,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0281960347199, -27.465886444641807], ""type"": ""Point""}","-27.465886444641807, 153.0281960347199"
12642,28,Adelaide St at app Hutton L,Adelaide Street,Hutton Lane,502808.6,6961980.2,-27.465718,153.028426,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02843203465753, -27.465705444092446], ""type"": ""Point""}","-27.465705444092446, 153.02843203465753"
12643,29,Adelaide St F/S Wharf St (Stop 29),Adelaide Street,Wharf Street,502941,6962095,-27.464681,153.029766,Brisbane City,2 - Intermediate,Y,Medium,Easy,Hard,,"{""coordinates"": [153.0297720344687, -27.46466844439995], ""type"": ""Point""}","-27.46466844439995, 153.0297720344687"
12644,30,Adelaide St @ Macrossan St (St 30),Adelaide Street,Macrossan,503139,6962293.8,-27.462886,153.031769,Brisbane City,3 - Regular with seat,Y,Hard,Easy,Easy,,"{""coordinates"": [153.03177503430712, -27.46287344490197], ""type"": ""Point""}","-27.46287344490197, 153.03177503430712"
12645,31,Creek Street Stop 149a,Creek Street,Adelaide Street,502761.3,6961901.5,-27.466428,153.027948,Brisbane City,4 - Regular,Y,Easy,Easy,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02795403386165, -27.466415444453265], ""type"": ""Point""}","-27.466415444453265, 153.02795403386165"
12646,32,Cathedral - Adelaide St Stop 32,Adelaide Street,Wharf Street,503008.5,6962132,-27.464347,153.030449,Brisbane City,4 - Regular,Y,Easy,Easy,Easy,2023-04-21T12:00:00+10:00,"{""coordinates"": [153.0304550345514, -27.464334444241306], ""type"": ""Point""}","-27.464334444241306, 153.0304550345514"
12647,33,Adelaide St app Wharf St (Stop 33),Adelaide Street,Wharf Street,502937.5,6962073.5,-27.464875,153.029731,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-02-06T11:00:00+10:00,"{""coordinates"": [153.02973703431888, -27.464862444537946], ""type"": ""Point""}","-27.464862444537946, 153.02973703431888"
12648,35,Adelaide St app Creek St (Stop 35),Adelaide Street,Creek Street,502781.8,6961938.6,-27.466093,153.028155,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02816103446435, -27.466080444351597], ""type"": ""Point""}","-27.466080444351597, 153.02816103446435"
12649,36,Adelaide St op Anzac Sq (r) (Stop 36),Adelaide Street,Edward Street,502666.1,6961833.9,-27.467039,153.026984,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Medium,,"{""coordinates"": [153.02699003469903, -27.46702644411534], ""type"": ""Point""}","-27.46702644411534, 153.02699003469903"
12650,37,Adelaide St op Anzac Sq (r) (Stop 37),Adelaide Street,Edward Street,502632.1,6961803.3,-27.467315,153.026641,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.0266470342107, -27.467302444392008], ""type"": ""Point""}","-27.467302444392008, 153.0266470342107"
