OBJECTID,Asset ID,Suburb,Street,Parking restriction Sign Type,Sign Category,Sign Status,Sign owner,BCC Code For Signs,Sign Direction,Sign is Temporary,Related Signs,Multi-sign Plate,Additional Sign Text,ParkingRestrictionDaysandTimes,SAP Object Number,SAP ID Number,Parking Restriction Code,GlobalID,geo_shape,geo_point_2d,Suburb_List,Latitude,Longitude,Parking_Restriction_Type
2,SN-10-1000-1295551,BARDON,SIMPSONS ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100313146,IE000000000100313146,43,a3dd166e-0cd8-4507-86ae-9eb397f77b0f,"{""coordinates"": [152.97200717345933, -27.45997546775474], ""type"": ""Point""}","-27.45997546775474, 152.97200717345933","B, BARDON",-27.45997546775474,152.97200717345933,Loading Zone Passengers 2 Min. Max
15,SN-20-2000-2586542,MANSFIELD,HAM ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43BYL,Left,0,1,1,2 MIN MAX,SCHOOLDAYS:7:00AM-9:00AM,000000000100442658,IE000000000100442658,43,23545d9d-10c7-48ee-ad61-1d25a27924fb,"{""coordinates"": [153.10503037156994, -27.543839555195223], ""type"": ""Point""}","-27.543839555195223, 153.10503037156994","M, MANSFIELD",-27.543839555195223,153.10503037156994,Loading Zone Passengers 2 Min. Max
22,SN-10-1000-1150563,TENERIFFE,WYANDRA STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100313709,IE000000000100313709,45,0d379a61-bb1e-4b5a-966c-def02bb4e887,"{""coordinates"": [153.046989606349, -27.451251875262113], ""type"": ""Point""}","-27.451251875262113, 153.046989606349","T, TENERIFFE",-27.451251875262113,153.046989606349,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
48,SN-10-1000-1280804,THE GAP,KALOMA ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,1,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100314183,IE000000000100314183,43,d5c9db58-bdeb-47f3-a36d-46b774a9aa6d,"{""coordinates"": [152.9375271466011, -27.43673528265232], ""type"": ""Point""}","-27.43673528265232, 152.9375271466011","T, THE GAP",-27.43673528265232,152.9375271466011,Loading Zone Passengers 2 Min. Max
62,SN-10-1000-1184762,BRISBANE CITY,MARGARET STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45Z1L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",MON-FRI:9am-3pm,000000000100314573,IE000000000100314573,45,21108789-5841-49ee-a9ea-f1133b8f036d,"{""coordinates"": [153.0276357222505, -27.473219175384024], ""type"": ""Point""}","-27.473219175384024, 153.0276357222505","B, BRISBANE CITY",-27.473219175384024,153.0276357222505,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
66,SN-10-1000-1130894,BRISBANE CITY,ANN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45AL,Left,0,1,1,"2 MIN MAX,20 MINS MAX",ALL OTHER TIMES:-,000000000100314659,IE000000000100314659,45,dd7f5af9-3dd4-40b4-a045-289eec139d9a,"{""coordinates"": [153.02443416444308, -27.467695903634425], ""type"": ""Point""}","-27.467695903634425, 153.02443416444308","B, BRISBANE CITY",-27.467695903634425,153.02443416444308,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
133,SN-10-1000-1291384,FORTITUDE VALLEY,WARNER STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45AR,Right,0,1,1,"2 MIN MAX,20 MINS MAX",ALL OTHER TIMES:-,000000000100316156,IE000000000100316156,45,031772f2-48b1-4c46-bb98-40627f94af89,"{""coordinates"": [153.03535742912987, -27.457678004381346], ""type"": ""Point""}","-27.457678004381346, 153.03535742912987","F, FORTITUDE VALLEY",-27.457678004381346,153.03535742912987,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
174,SN-10-1000-1163166,SOUTH BRISBANE,CLARENCE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43XR,Right,0,1,1,15 MINS MAX,"MON-FRI:7am-6pm ,SAT:7am-12noon",000000000100317042,IE000000000100317042,43,60edee9b-f983-4d3d-8433-7ddbd74123d1,"{""coordinates"": [153.02789562041207, -27.487618505771387], ""type"": ""Point""}","-27.487618505771387, 153.02789562041207","S, SOUTH BRISBANE",-27.487618505771387,153.02789562041207,Loading Zone Passengers 2 Min. Max
213,SN-10-1000-1294483,TARINGA,HARRYS ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100317866,IE000000000100317866,43,3a921b43-2c99-4ac0-a4a8-b112595934b8,"{""coordinates"": [152.98195083711082, -27.49264024699939], ""type"": ""Point""}","-27.49264024699939, 152.98195083711082","T, TARINGA",-27.49264024699939,152.98195083711082,Loading Zone Passengers 2 Min. Max
219,SN-10-1000-1136163,NEW FARM,BRUNSWICK STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,1,2 MIN MAX,,000000000100317992,IE000000000100317992,43,4e49273a-13aa-46a9-af55-a3e024e3ba46,"{""coordinates"": [153.04307099212744, -27.464875848256916], ""type"": ""Point""}","-27.464875848256916, 153.04307099212744","N, NEW FARM",-27.464875848256916,153.04307099212744,Loading Zone Passengers 2 Min. Max
